Bicep Angle,Squat Angle,Label
3.4400552519657457,178.41958693378533,incorrect
159.52556820120455,177.64161485279354,correct
167.19506018548753,177.62234703614504,incorrect
173.02959531933644,177.49105360596417,incorrect
173.78481823793894,178.16829398549183,incorrect
173.3592933493208,178.48305569576917,incorrect
174.66583084239957,178.60614826857116,incorrect
175.07941780451372,178.62996776690403,incorrect
175.41116293816413,178.62916715453332,incorrect
175.2851372428601,178.66247033595394,incorrect
175.17199097434047,178.50018049405477,incorrect
175.80371035238414,178.48726371513274,incorrect
175.41703657727024,178.83331137328602,incorrect
174.40140067240344,177.12538648907616,incorrect
173.87625184602015,176.05553706314603,incorrect
171.89774843821647,175.3966825319429,incorrect
171.37410549938983,174.3382962536823,incorrect
171.32480607503834,177.4170915988578,incorrect
172.1014916093041,178.70206681557653,incorrect
172.02926873077615,178.80366076746776,incorrect
173.38598203286375,179.11474289988402,incorrect
173.98022209132515,179.3404327933417,incorrect
171.28774376369043,179.17541524644184,incorrect
168.3569602051289,179.22813403342573,incorrect
166.02871836244628,178.61578167775482,incorrect
160.47585526003476,178.59501616283978,incorrect
160.07946105255505,178.85048422847768,incorrect
161.5391053803609,179.2357936024121,incorrect
162.85746612007097,179.53879016038832,incorrect
163.13423892390597,179.87126474829049,incorrect
167.89900029834072,179.57666794854725,incorrect
170.26621302012123,179.85413778566775,incorrect
173.47137485490344,179.86400696490273,incorrect
174.47704465790287,179.51661276718912,incorrect
174.8108089457531,178.79901601763947,incorrect
175.5913597480413,179.08319534306654,incorrect
175.9991805738566,178.9166712641669,incorrect
176.69916765652385,178.86984679635876,incorrect
177.103412268949,178.89873105382236,incorrect
177.9388348480769,178.98783415063428,incorrect
178.2185279528862,179.0380083555658,incorrect
178.6731886513313,179.45240921408336,incorrect
178.61592958389818,179.56711106260028,incorrect
178.37778172369772,179.53439723871463,incorrect
178.39946140994581,179.7043766768148,incorrect
178.4512466106667,179.7993551428269,incorrect
178.31251235419793,179.64237456316874,incorrect
178.36698951571435,179.515234810624,incorrect
178.2482483908127,179.54278904532566,incorrect
178.1869487907491,179.84524182188008,incorrect
178.2248436872103,179.9506444709015,incorrect
178.25046839324366,179.71995791510003,incorrect
178.46717653644703,179.73619749641284,incorrect
178.53368105618966,179.8615414352003,incorrect
178.62323326706743,179.86836981255658,incorrect
178.53746885248702,179.86096437680513,incorrect
178.56069228155448,179.9585480661095,incorrect
178.59743524178074,179.89334446061318,incorrect
178.6174029922536,179.88266719777263,incorrect
178.62521456224718,179.8562978360114,incorrect
178.64087787616356,179.97600981930412,incorrect
178.6270513987144,179.99764043314,incorrect
178.50402839496883,179.67910170802418,incorrect
178.50579304938097,179.67484385404694,incorrect
178.43925214877223,179.69758993339556,incorrect
178.53694092168652,179.6885429687443,incorrect
178.61030961281602,179.6762100785512,incorrect
178.62575025061867,179.72909698362503,incorrect
178.7729772122221,179.7802593443945,incorrect
178.7608726287018,179.6148912628651,incorrect
178.63523010572465,179.60098741462636,incorrect
178.60232490550385,179.6088558037888,incorrect
178.5902159090052,179.66686822094118,incorrect
178.59140305751967,179.92959238408235,incorrect
178.36823768530542,179.86748279255096,incorrect
178.80475185050102,179.94788152735907,incorrect
179.29278659882175,179.882846806661,incorrect
179.93879666086315,178.76831948804104,incorrect
177.69711467216985,178.97766280306692,incorrect
179.35777434314366,179.12028689256888,incorrect
126.22552813732776,179.41380339876505,correct
2.7562724797395997,179.55350943589988,incorrect
0.6745475305636291,179.7767002829316,incorrect
1.7921391537600366,179.70425263874986,incorrect
3.0072201446379867,179.80396513878142,incorrect
1.1824917037505525,179.8475592470263,incorrect
0.3863054366326462,179.56570383094314,incorrect
0.40691342279257026,179.62158796166483,incorrect
0.32568112068600463,179.35315264708925,incorrect
0.8630723341511497,179.31108255983605,incorrect
0.7836563743084461,179.32131290305895,incorrect
0.6941721338603812,179.41631728411596,incorrect
0.5407245835183052,179.44802618011428,incorrect
2.4331186793089676,179.56535663365656,incorrect
3.654065638798,179.55703479224212,incorrect
36.98027273367285,179.1554805840564,correct
174.7137235128516,179.4264060984399,incorrect
176.62604079490683,179.536828853433,incorrect
177.51225659055208,179.83987776680542,incorrect
177.2233495038358,179.87434497738028,incorrect
177.58657322872722,179.8491381782169,incorrect
177.22365925219904,179.59762142561218,incorrect
176.9461341334637,179.5127919737742,incorrect
